Node #29
< destination, cost, nexthop > 
<26, 477, 6>
<18, 1426, 6>
<17, 741, 6>
<27, 1175, 6>
<10, 951, 6>
<0, 986, 6>
<20, 732, 6>
<29, 774, 6>
<24, 1080, 6>
<11, 878, 6>
<12, 847, 6>
<25, 1666, 6>
size: 29
Neighbors: <6, 2, >

Node #4
< destination, cost, nexthop > 
<1, 47, 1>
<6, 769, 26>
<26, 682, 1>
<18, 1020, 18>
<15, 694, 15>
<23, 761, 15>
<16, 746, 26>
<22, 588, 1>
<21, 1041, 15>
<28, 545, 1>
<14, 887, 1>
<3, 1417, 15>
<5, 1159, 6>
<12, 312, 1>
<25, 601, 1>
<10, 544, 1>
<20, 937, 26>
<19, 973, 26>
<8, 645, 1>
<29, 924, 15>
<24, 990, 15>
<7, 926, 26>
<9, 762, 26>
<13, 1501, 26>
<27, 856, 1>
<17, 754, 1>
<2, 857, 1>
<0, 1191, 26>
<11, 1028, 15>
size: 29
Neighbors: <1, 6, 26, 18, 15, >

Node #3
< destination, cost, nexthop > 
<21, 376, 21>
<6, 686, 6>
<15, 723, 21>
<23, 656, 21>
<16, 709, 6>
<14, 926, 6>
<4, 1417, 21>
<28, 969, 21>
<5, 1076, 6>
<8, 775, 21>
<29, 819, 21>
<24, 885, 21>
<22, 832, 21>
<7, 889, 6>
<9, 725, 6>
<1, 1373, 21>
<19, 936, 6>
<26, 773, 6>
<13, 1464, 6>
<2, 999, 6>
<18, 1722, 6>
<17, 884, 21>
<11, 923, 21>
<27, 1100, 21>
<10, 876, 21>
<0, 1282, 6>
<12, 1143, 6>
<25, 1678, 21>
<20, 1028, 6>
size: 29
Neighbors: <21, 6, >

Node #2
< destination, cost, nexthop > 
<22, 269, 22>
<14, 73, 14>
<13, 986, 13>
<5, 703, 14>
<8, 326, 22>
<23, 445, 8>
<7, 516, 14>
<17, 435, 8>
<15, 512, 8>
<1, 810, 22>
<27, 537, 22>
<10, 313, 22>
<0, 909, 14>
<6, 313, 14>
<16, 336, 14>
<20, 655, 14>
<21, 725, 8>
<29, 608, 8>
<24, 674, 8>
<9, 352, 14>
<11, 712, 8>
<4, 857, 22>
<28, 758, 8>
<12, 770, 14>
<25, 1115, 22>
<3, 999, 14>
<19, 563, 14>
<26, 400, 14>
<18, 1349, 14>
size: 29
Neighbors: <22, 14, 13, 5, 8, >

Node #1
< destination, cost, nexthop > 
<16, 699, 12>
<22, 541, 10>
<14, 840, 14>
<4, 47, 4>
<12, 265, 12>
<28, 498, 28>
<25, 554, 25>
<10, 497, 10>
<23, 717, 22>
<15, 741, 4>
<7, 879, 16>
<9, 715, 16>
<6, 722, 16>
<19, 926, 16>
<26, 635, 12>
<13, 1454, 16>
<8, 598, 22>
<27, 809, 22>
<17, 707, 22>
<2, 810, 22>
<0, 1144, 12>
<18, 1067, 4>
<21, 997, 22>
<29, 880, 22>
<24, 946, 22>
<11, 984, 22>
<3, 1373, 22>
<5, 1112, 16>
<20, 890, 12>
size: 29
Neighbors: <16, 22, 14, 4, 12, 28, 25, 10, >

Node #0
< destination, cost, nexthop > 
<20, 254, 20>
<22, 917, 22>
<8, 974, 22>
<15, 1160, 22>
<1, 1144, 20>
<27, 1185, 22>
<17, 901, 20>
<2, 909, 20>
<10, 961, 22>
<13, 1255, 20>
<26, 509, 20>
<23, 1093, 22>
<16, 573, 20>
<21, 1373, 22>
<6, 596, 20>
<4, 1191, 20>
<28, 1131, 20>
<7, 753, 20>
<14, 836, 20>
<12, 879, 20>
<25, 1698, 20>
<9, 589, 20>
<5, 986, 20>
<29, 934, 20>
<24, 1240, 20>
<19, 800, 20>
<3, 1282, 20>
<18, 1586, 20>
<11, 1038, 20>
size: 29
Neighbors: <20, 22, >


---------------------------------------------------

Total Nodes: 30
Total rounds: 5
packetsCreated: 720
lastNodeUpdated: 0

Node to find: 23
Path from node 0 to node 23: 
< 0, 22, 8, 23, >

---------------------------------------------------
